sid,hemi,surf,highres_surf,condition,run
sub-01,lh,5fc7d1cfaa60b8012e892df6,5fc7d1cdaa60b8011189b7e8,5fc7d1b04269db011e1c904a,5fc7d1b06ebcc6012846a5b7
sub-01,rh,5fc7d1d36ebcc6012846a669,5fc7d1cd4269db01291c2e22,5fc7d1b24269db01291c2dbe,5fc7d1b24269db011f1cb14f
sub-02,lh,5fc7d1f5aa60b8012e892e6e,5fc7d1d2aa60b8012f89310f,5fc7d1d06ebcc6012846a657,5fc7d1d14269db011e1c9073
sub-02,rh,5fc7d1fd4269db01191c9894,5fc7d1f74269db01191c988b,5fc7d1d44269db01291c2e3b,5fc7d1d5aa60b8012e892e0f
sub-04,lh,5fc7d205aa60b8012f893218,5fc7d1fdaa60b8012289acc2,5fc7d1d86ebcc6012746a445,5fc7d1db6ebcc6012846a695
sub-04,rh,5fc7d227aa60b8012f8932bc,5fc7d2206ebcc6012746a502,5fc7d1faaa60b8012f8931da,5fc7d1fd6ebcc6012846a73c
sub-05,lh,5fc7d22f4269db01191c98b3,5fc7d2276ebcc6012846a7e5,5fc7d2014269db01281c2d42,5fc7d2044269db01281c2d4f
sub-05,rh,5fc7d24b4269db01281c2e05,5fc7d232aa60b8012f8932f0,5fc7d222aa60b8012e892ed3,5fc7d2254269db01281c2d9b
sub-06,lh,5fc7d2564269db01181c6f1e,5fc7d24eaa60b8012e892f5c,5fc7d22a4269db01281c2dab,5fc7d2304269db01101c7c3d
sub-06,rh,5fc7d259aa60b8012c8940ae,5fc7d254aa60b8012f893352,5fc7d2346ebcc6012846a830,5fc7d238aa60b8012c894087
sub-07,lh,5fc7d27e4269db01191c98d6,5fc7d26faa60b8012f8933dc,5fc7d2536ebcc6012846a8b3,5fc7d2566ebcc6012846a8c3
sub-07,rh,5fc7d2854269db01281c2e80,5fc7d27faa60b8012f89342f,5fc7d25a4269db011e1c90f8,5fc7d25baa60b8011b89a197
sub-08,lh,5fc7d2994269db01281c2eac,5fc7d2856ebcc6012846a983,5fc7d272aa60b8012f8933f1,5fc7d2766ebcc6012846a943
sub-08,rh,5fc7d2ae4269db01291c30d1,5fc7d2a16ebcc6012746a667,5fc7d282aa60b8012e892fd0,5fc7d2866ebcc601194713c4
sub-09,lh,5fc7d2b44269db01291c30f7,5fc7d2aeaa60b8012f89350c,5fc7d2894269db01281c2e8d,5fc7d28d6ebcc6012846a9a3
sub-09,rh,5fc7d2c8aa60b8012e89309f,5fc7d2beaa60b8012f893576,5fc7d2a4aa60b8012e893035,5fc7d2a7aa60b8012e893041
sub-11,lh,5fc7d2d86ebcc6012846aae2,5fc7d2d0aa60b8012f8935c0,5fc7d2b16ebcc6012846aa2a,5fc7d2b46ebcc6012746a69f
sub-11,rh,5fc7d2e4aa60b8012f893637,5fc7d2da4269db011e1c915c,5fc7d2c16ebcc6012846aa71,5fc7d2c4aa60b8012f89358b
sub-12,lh,5fc7d2fb4269db01191c990b,5fc7d2e94269db011f1cb316,5fc7d2d46ebcc6012746a6de,5fc7d2d76ebcc6012846aad4
sub-12,rh,5fc7d3036ebcc6012746a77b,5fc7d2fc6ebcc6012846ab86,5fc7d2dd4269db01191c98fc,5fc7d2e06ebcc6012846ab0b
sub-13,lh,5fc7d310aa60b8012f893713,5fc7d3054269db01291c31d8,5fc7d2eb6ebcc6012846ab3e,5fc7d2eeaa60b8011189b7f9
sub-13,rh,5fc7d32d4269db01281c2fe7,5fc7d3256ebcc601194713d5,5fc7d2ffaa60b8012f8936c7,5fc7d304aa60b8012f8936e3
sub-14,lh,5fc7d3356ebcc6011a474dc6,5fc7d3304269db01281c2ff5,5fc7d3074269db01291c31e0,5fc7d309aa60b8012c894193
sub-14,rh,5fc7d3404269db01291c3289,5fc7d3376ebcc6012746a811,5fc7d328aa60b8012f893792,5fc7d32baa60b8012f8937a5
